wuc,description,full_context
12000,FUSELAGE COMPARTMENTS,12000 FUSELAGE COMPARTMENTS
12A00,SEATS,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS
12A99,NOC,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12A90 > 12A99 NOC
12AA0,"PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW","12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW"
12AAH,SHOULDER HARNESS,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAH SHOULDER HARNESS"
12AAJ,INERTIA REEL ASSEMBLY,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAJ INERTIA REEL ASSEMBLY"
12AAK,LOCK ASSEMBLY,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAK LOCK ASSEMBLY"
12AAN,SAFETY BELT,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAN SAFETY BELT"
12AAP,ADJUSTABLE MECHANISM,"12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AA0 PILOT, COPILOT, NAVIGATOR, BOOM OPERATOR, AND CREW > 12AAP ADJUSTABLE MECHANISM"
12AD0,CREW INSTRUCTOR SEAT (LIGHT FOLDING TYPE),12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AD0 CREW INSTRUCTOR SEAT (LIGHT FOLDING TYPE)
12ADB,SAFETY BELT,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AD0 CREW INSTRUCTOR SEAT (LIGHT FOLDING TYPE) > 12ADB SAFETY BELT
12AE0,FOLDING TROOP SEATS,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AE0 FOLDING TROOP SEATS
12AG0,PASSENGER SEATS,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AG0 PASSENGER SEATS
12AGA,* SAFETY BELTS (TCI),12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AG0 PASSENGER SEATS > 12AGA * SAFETY BELTS (TCI)
12AGC,ADJUSTMENT MECHANISM,12000 FUSELAGE COMPARTMENTS > 12A00 SEATS > 12AG0 PASSENGER SEATS > 12AGC ADJUSTMENT MECHANISM
12B00,FURNISHINGS,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS
12B99,NOC,12000 FUSELAGE COMPARTMENTS > 12B00 FURNISHINGS > 12B90 > 12B99 NOC
